Starting protocol generation for liver_organoids with prompt b8f1010cfd96694f172266a628361ccb... using model llama3.1:8b
Generating protocol 1 for model llama3.1:8b
**Liver Organoid Generation Protocol from H9 hESC**

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| 7   | DMEM/F12 | 50 RPM | 96-well plate, 0.3 cm²/well | Insulin (6 μU/mL), Penicillin-Streptomycin (100 μg/mL) | 37°C | 7.1 | 5% |
| 8   | Williams' E | 0 RPM | 6-well plate, 9.5 cm²/well | Glucose (10 mM), HEPES (25 mM) | 37°C | 7.0 | 3% |
| 9   | Williams' E | 50 RPM | 6-well plate, 9.5 cm²/well | Insulin (6 μU/mL), Penicillin-Streptomycin (100 μg/mL) | 37°C | 7.0 | 3% |
| 10  | TeSR2 | 0 RPM | 24-well plate, 1.9 cm²/well | Heparin (5 μg/mL), DKK-1 (100 ng/mL) | 37°C | 7.0 | 18% |
| 11  | E8 | 50 RPM | 48-well plate, 0.5 cm²/well | BMP-2 (50 ng/mL), FGF-10 (20 ng/mL) | 37°C | 7.1 | 15% |
| 12  | DMEM/F12 | 0 RPM | 96-well plate, 0.3 cm²/well | Glucose (10 mM), HEPES (25 mM) | 37°C | 7.1 | 5% |
| 13  | TeSR2 | 50 RPM | 24-well plate, 1.9 cm²/well | Activin A (100 ng/mL), TGF-β1 (1 ng/mL) | 37°C | 7.0 | 18% |
| 14  | Williams' E | 0 RPM | 6-well plate, 9.5 cm²/well | Glucose (10 mM), HEPES (25 mM) | 37°C | 7.0 | 3% |
| 15  | DMEM/F12 | 50 RPM | 96-well plate, 0.3 cm²/well | Insulin (6 μU/mL), Penicillin-Streptomycin (100 μg/mL) | 37°C | 7.1 | 5% |
| 16  | E8 | 0 RPM | 48-well plate, 0.5 cm²/well | VEGF (10 ng/mL), PDGF-BB (10 ng/mL) | 37°C | 7.1 | 18% |
| 17  | TeSR2 | 50 RPM | 24-well plate, 1.9 cm²/well | Heparin (5 μg/mL), DKK-1 (100 ng/mL) | 37°C | 7.0 | 18% |
| 18  | Williams' E | 0 RPM | 6-well plate, 9.5 cm²/well | Glucose (10 mM), HEPES (25 mM) | 37°C | 7.0 | 3% |
| 19  | DMEM/F12 | 50 RPM | 96-well plate, 0.3 cm²/well | Insulin (6 μU/mL), Penicillin-Streptomycin (100 μg/mL) | 37°C | 7.1 | 5% |
| 20  | E8 | 0 RPM | 48-well plate, 0.5 cm²/well | BMP-2 (50 ng/mL), FGF-10 (20 ng/mL) | 37°C | 7.1 | 15% |
| 21  | TeSR2 | 0 RPM | 24-well plate, 1.9 cm²/well | Activin A (100 ng/mL), TGF-β1 (1 ng/mL) | 37°C | 7.0 | 18%
Generating protocol 234 for model llama3.1:8b
Here is the protocol schedule:

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | GSK3 inhibitor (10 μM) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 50 RPM | 24-well plate, 2 cm²/well | BMP4 (200 ng/mL), VEGF (100 ng/mL) | 37°C | 7.3 | 18% |
| 3   | mTeSR1+10% FBS | 50 RPM | 24-well plate, 2 cm²/well | PDGFB (20 ng/mL), TGF-β1 (1 ng/mL) | 37°C | 7.4 | 16% |
| 4   | mTeSR1+10% FBS | 75 RPM | 6-well plate, 9.5 cm²/well | HGF (50 ng/mL), EGF (20 ng/mL) | 37°C | 7.3 | 15% |
| 5   | mTeSR1+10% FBS | 100 RPM | 12-well plate, 4.5 cm²/well | Wnt3a (500 ng/mL), B27 supplement | 37°C | 7.2 | 14% |
| 6   | mTeSR1+B27 | 0 RPM | 24-well plate, 2 cm²/well | FGF4 (100 ng/mL), IGF-1 (20 ng/mL) | 37°C | 7.3 | 18% |
| 7   | mTeSR1+B27 | 50 RPM | 12-well plate, 4.5 cm²/well | Heparin (10 μg/mL), Ascorbic acid (100 μM) | 37°C | 7.4 | 16% |
| 8   | mTeSR1+B27 | 75 RPM | 6-well plate, 9.5 cm²/well | Activin A (500 ng/mL), VEGF (200 ng/mL) | 37°C | 7.2 | 15% |
| 9   | mTeSR1+B27 | 100 RPM | 24-well plate, 2 cm²/well | PDGFB (50 ng/mL), TGF-β1 (5 ng/mL) | 37°C | 7.3 | 14% |
| 10  | mTeSR1+B27+10% FBS | 0 RPM | 12-well plate, 4.5 cm²/well | HGF (100 ng/mL), EGF (50 ng/mL) | 37°C | 7.2 | 18% |
| 11  | mTeSR1+B27+10% FBS | 50 RPM | 6-well plate, 9.5 cm²/well | Wnt3a (1000 ng/mL), B27 supplement | 37°C | 7.4 | 16% |
| 12  | mTeSR1+B27+10% FBS | 75 RPM | 24-well plate, 2 cm²/well | FGF4 (200 ng/mL), IGF-1 (50 ng/mL) | 37°C | 7.3 | 15% |
| 13  | mTeSR1+B27+10% FBS | 100 RPM | 12-well plate, 4.5 cm²/well | Heparin (20 μg/mL), Ascorbic acid (200 μM) | 37°C | 7.2 | 14% |
| 14  | mTeSR1+B27+10% FBS | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (1000 ng/mL), VEGF (500 ng/mL) | 37°C | 7.4 | 18% |
| 15  | mTeSR1+B27+10% FBS | 50 RPM | 24-well plate, 2 cm²/well | PDGFB (200 ng/mL), TGF-β1 (10 ng/mL) | 37°C | 7.3 | 16% |
| 16  | mTeSR1+B27+10% FBS | 75 RPM | 12-well plate, 4.5 cm²/well | HGF (500 ng/mL), EGF (200 ng/mL) | 37°C | 7.2 | 15% |
| 17  | mTeSR1+B27+10% FBS | 100 RPM | 6-well plate, 9.5 cm²/well | Wnt3a (5000 ng/mL), B27 supplement | 37°C | 7.4 | 14% |
| 18  | mTeSR1+B27+10% FBS | 0 RPM | 24-well plate, 2 cm²/well | FGF4 (1000 ng/mL), IGF-1 (200 ng/mL) | 37°C | 7.3 | 18% |
| 19  | mTeSR1+B27+10% FBS | 50 RPM | 12-well plate, 4.5 cm²/well | Heparin (50 μg/mL), Ascorbic acid (500 μM) | 37°C | 7.2 | 16% |
| 20  | mTeSR1+B27+10% FBS | 75 RPM | 6-well plate, 9.5 cm²/well | Activin A (5000 ng/mL), VEGF (1000 ng/mL) | 37°C | 7.4 | 15% |
| 21  | mTeSR1+B27+10% FBS | 100 RPM | 24-well plate, 2 cm²/well | PDGFB (500 ng/mL), TGF-β1 (20 ng/mL) | 37°C | 7.3 | 14% |

Generating protocol 235 for model llama3.1:8b
Here is the detailed protocol for generating liver organoids from H9 human embryonic stem cells (hESC):

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (50 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 75 RPM | 24-well plate, 4 cm²/well | - | 37°C | 7.4 | 15% |
| 3   | mTeSR1 + ESGRO (10%) | 50 RPM | 12-well plate, 2 cm²/well | Wnt3a (100 ng/mL) | 37°C | 7.5 | 10% |
| 4   | mTeSR1 + ESGRO (15%) | 75 RPM | 24-well plate, 4 cm²/well | - | 37°C | 7.6 | 20% |
| 5   | DMEM/F12 | 50 RPM | 6-well plate, 9.5 cm²/well | Glucose (10 mg/mL), Insulin (0.1 U/mL) | 37°C | 7.4 | 15% |
| 6   | DMEM/F12 + 10% FBS | 50 RPM | 12-well plate, 2 cm²/well | BMP4 (100 ng/mL) | 37°C | 7.5 | 20% |
| 7   | Hepatocyte Growth Medium (HGM) | 25 RPM | 24-well plate, 4 cm²/well | HGF (50 ng/mL), EGF (10 ng/mL) | 37°C | 7.4 | 15% |
| 8   | HGM + 2% FBS | 75 RPM | 12-well plate, 2 cm²/well | - | 37°C | 7.5 | 20% |
| 9   | HGM + 10% FCS | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (1 ng/mL) | 37°C | 7.4 | 15% |
| 10  | HGM + 2% BSA | 25 RPM | 24-well plate, 4 cm²/well | - | 37°C | 7.5 | 20% |
| 11  | DMEM/F12 + 10% FBS | 50 RPM | 6-well plate, 9.5 cm²/well | Glucose (10 mg/mL), Insulin (0.1 U/mL) | 37°C | 7.4 | 15% |
| 12  | DMEM/F12 + ESGRO (20%) | 75 RPM | 24-well plate, 4 cm²/well | Wnt3a (100 ng/mL), bFGF (50 ng/mL) | 37°C | 7.6 | 20% |
| 13  | mTeSR1 + ESGRO (15%) | 50 RPM | 12-well plate, 2 cm²/well | - | 37°C | 7.5 | 10% |
| 14  | HGM | 25 RPM | 24-well plate, 4 cm²/well | HGF (50 ng/mL), EGF (10 ng/mL) | 37°C | 7.4 | 15% |
| 15  | HGM + 2% FBS | 75 RPM | 12-well plate, 2 cm²/well | - | 37°C | 7.5 | 20% |
| 16  | DMEM/F12 + 10% FBS | 50 RPM | 6-well plate, 9.5 cm²/well | Glucose (10 mg/mL), Insulin (0.1 U/mL) | 37°C | 7.4 | 15% |
| 17  | mTeSR1 + ESGRO (20%) | 75 RPM | 24-well plate, 4 cm²/well | Wnt3a (100 ng/mL), bFGF (50 ng/mL) | 37°C | 7.6 | 20% |
| 18  | HGM | 25 RPM | 24-well plate, 4 cm²/well | - | 37°C | 7.4 | 15% |
| 19  | DMEM/F12 + ESGRO (10%) | 50 RPM | 12-well plate, 2 cm²/well | BMP4 (100 ng/mL) | 37°C | 7.5 | 20% |
| 20  | HGM + 2% FBS | 75 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (1 ng/mL), HGF (50 ng/mL) | 37°C | 7.4 | 15% |
| 21  | DMEM/F12 + 10% FBS | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.4 | 20% |

Note: The input density for H9 hESC cells is approximately 1-2 x 10^6 cells/mL.
Generating protocol 236 for model llama3.1:8b
Here is the protocol schedule:

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL) | 37°C | 7.4 | 20% |
| 3   | E8 medium | 0 RPM | Corning BioCoat T-75 cell culture flask, 25 cm² | VEGF (50 ng/mL), PDGFB (50 ng/mL) | 37°C | 7.2 | 18% |
| 4   | E8 medium | 0 RPM | Corning BioCoat T-75 cell culture flask, 25 cm² | VEGF (50 ng/mL), PDGFB (50 ng/mL) | 37°C | 7.2 | 18% |
| 5   | DMEM/F12+10% FBS | 0 RPM | Corning BioCoat T-75 cell culture flask, 25 cm² | HGF (100 ng/mL), EGF (20 ng/mL) | 37°C | 7.3 | 15% |
| 6   | DMEM/F12+10% FBS | 50 RPM | Corning BioCoat T-75 cell culture flask, 25 cm² | HGF (100 ng/mL), EGF (20 ng/mL) | 37°C | 7.3 | 15% |
| 7   | William's E medium | 0 RPM | Nunc Nunclon Delta treated 6-well plate, 9.5 cm²/well | Dexamethasone (1 μM), Ascorbic acid (100 μg/mL) | 37°C | 7.4 | 12% |
| 8   | William's E medium | 0 RPM | Nunc Nunclon Delta treated 6-well plate, 9.5 cm²/well | Dexamethasone (1 μM), Ascorbic acid (100 μg/mL) | 37°C | 7.4 | 12% |
| 9   | William's E medium + Matrigel | 0 RPM | Nunc Nunclon Delta treated 6-well plate, 9.5 cm²/well | HGF (100 ng/mL), EGF (20 ng/mL) | 37°C | 7.3 | 10% |
| 10  | William's E medium + Matrigel | 50 RPM | Nunc Nunclon Delta treated 6-well plate, 9.5 cm²/well | HGF (100 ng/mL), EGF (20 ng/mL) | 37°C | 7.3 | 10% |
| 11  | DMEM/F12+10% FBS + Matrigel | 0 RPM | Corning BioCoat T-75 cell culture flask, 25 cm² | VEGF (50 ng/mL), PDGFB (50 ng/mL) | 37°C | 7.2 | 8% |
| 12  | DMEM/F12+10% FBS + Matrigel | 0 RPM | Corning BioCoat T-75 cell culture flask, 25 cm² | VEGF (50 ng/mL), PDGFB (50 ng/mL) | 37°C | 7.2 | 8% |
| 13  | E8 medium + Matrigel | 0 RPM | Nunc Nunclon Delta treated 6-well plate, 9.5 cm²/well | HGF (100 ng/mL), EGF (20 ng/mL) | 37°C | 7.3 | 12% |
| 14  | E8 medium + Matrigel | 50 RPM | Nunc Nunclon Delta treated 6-well plate, 9.5 cm²/well | HGF (100 ng/mL), EGF (20 ng/mL) | 37°C | 7.3 | 12% |
| 15  | William's E medium + Matrigel | 0 RPM | Nunc Nunclon Delta treated 6-well plate, 9.5 cm²/well | Dexamethasone (1 μM), Ascorbic acid (100 μg/mL) | 37°C | 7.4 | 15% |
| 16  | William's E medium + Matrigel | 0 RPM | Nunc Nunclon Delta treated 6-well plate, 9.5 cm²/well | Dexamethasone (1 μM), Ascorbic acid (100 μg/mL) | 37°C | 7.4 | 15% |
| 17  | E8 medium + Matrigel | 0 RPM | Corning BioCoat T-75 cell culture flask, 25 cm² | HGF (100 ng/mL), EGF (20 ng/mL) | 37°C | 7.3 | 18% |
| 18  | E8 medium + Matrigel | 50 RPM | Corning BioCoat T-75 cell culture flask, 25 cm² | HGF (100 ng/mL), EGF (20 ng/mL) | 37°C | 7.3 | 18% |
| 19  | DMEM/F12+10% FBS + Matrigel | 0 RPM | Nunc Nunclon Delta treated 6-well plate, 9.5 cm²/well | VEGF (50 ng/mL), PDGFB (50 ng/mL) | 37°C | 7.2 | 20% |
| 20  | DMEM/F12+10% FBS + Matrigel | 0 RPM | Nunc Nunclon Delta treated 6-well plate, 9.5 cm²/well | VEGF (50 ng/mL), PDGFB (50 ng/mL) | 37°C | 7.2 | 20% |
| 21-30 | Continued optimization and maintenance of cultures
Generating protocol 237 for model llama3.1:8b
Here is the protocol schedule:

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | bFGF (20 μg/mL), VEGF (10 μg/mL) | 37°C | 7.4 | 20% |
| 3   | RPMI 1640 | 50 RPM | 12-well plate, 2 mL/well | - | 37°C | 7.4 | 20% |
| 4   | RPMI 1640 | 50 RPM | 12-well plate, 2 mL/well | Insulin (5 μg/mL), Transferrin (10 μg/mL) | 37°C | 7.4 | 20% |
| 5   | RPMI 1640 | 50 RPM | 24-well plate, 1 mL/well | - | 37°C | 7.4 | 20% |
| 6   | Hepes-MEM | 0 RPM | 15 mL tube, 3 mL/tube | FGF-8 (50 ng/mL) | 37°C | 7.4 | 10% |
| 7   | Hepes-MEM | 0 RPM | 15 mL tube, 3 mL/tube | HGF (20 μg/mL), EGF (10 μg/mL) | 37°C | 7.4 | 10% |
| 8   | DMEM/F12 | 50 RPM | 6-well plate, 2 mL/well | - | 37°C | 7.4 | 20% |
| 9   | DMEM/F12 | 50 RPM | 6-well plate, 2 mL/well | Wnt3a (100 ng/mL), Bmp-4 (10 μg/mL) | 37°C | 7.4 | 20% |
| 10  | L-WAFR's | 0 RPM | 15 mL tube, 3 mL/tube | - | 37°C | 7.4 | 5% |
| 11  | L-WAFR's | 0 RPM | 15 mL tube, 3 mL/tube | TGF-β (1 μg/mL), PDGF-BB (10 ng/mL) | 37°C | 7.4 | 5% |
| 12  | F12-MV | 50 RPM | 24-well plate, 2 mL/well | - | 37°C | 7.4 | 20% |
| 13  | F12-MV | 50 RPM | 24-well plate, 2 mL/well | Bmp-4 (5 μg/mL), Activin A (100 ng/mL) | 37°C | 7.4 | 20% |
| 14  | DMEM/F12 | 0 RPM | 6-well plate, 3 mL/well | - | 37°C | 7.4 | 5% |
| 15  | DMEM/F12 | 0 RPM | 6-well plate, 3 mL/well | HGF (20 μg/mL), EGF (10 μg/mL) | 37°C | 7.4 | 5% |
| 16  | L-WAFR's | 50 RPM | 15 mL tube, 2 mL/tube | - | 37°C | 7.4 | 10% |
| 17  | L-WAFR's | 50 RPM | 15 mL tube, 2 mL/tube | Wnt3a (100 ng/mL), TGF-β (1 μg/mL) | 37°C | 7.4 | 10% |
| 18  | F12-MV | 0 RPM | 24-well plate, 2 mL/well | - | 37°C | 7.4 | 5% |
| 19  | F12-MV | 0 RPM | 24-well plate, 2 mL/well | Bmp-4 (10 μg/mL), Activin A (100 ng/mL) | 37°C | 7.4 | 5% |
| 20  | DMEM/F12 | 50 RPM | 6-well plate, 3 mL/well | - | 37°C | 7.4 | 20% |
| 21  | DMEM/F12 | 50 RPM | 6-well plate, 3 mL/well | HGF (20 μg/mL), EGF (10 μg/mL) | 37°C | 7.4 | 20% |

Note: The hESC input density is approximately 100-200 cells/cm² on day 0.
Generating protocol 238 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | None | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 100 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 + bFGF | 50 RPM | 24-well plate, 2.0 cm²/well | BMP4 (200 ng/mL), Noggin (500 ng/mL) | 37°C | 7.5 | 18% |
| 3   | HEPES-MEF | 75 RPM | 6-well plate, 9.5 cm²/well | FGF2 (20 ng/mL), ESGRO (100 μM) | 37°C | 7.4 | 15% |
| 4   | HEPES-MEF | 0 RPM | 6-well plate, 9.5 cm²/well | HGF (25 ng/mL), PDGFB (20 ng/mL) | 32°C | 7.3 | 12% |
| 5   | HEPES-MEF | 50 RPM | 24-well plate, 2.0 cm²/well | Activin A (50 ng/mL), BMP4 (100 ng/mL) | 37°C | 7.4 | 18% |
| 6   | HEPES-MEF + Matrigel | 75 RPM | 48-well plate, 1.8 cm²/well | ESGRO (200 μM), FGF2 (50 ng/mL) | 32°C | 7.3 | 10% |
| 7   | HEPES-MEF + Matrigel | 0 RPM | 24-well plate, 2.0 cm²/well | HGF (12.5 ng/mL), PDGFB (25 ng/mL) | 32°C | 7.3 | 8% |
| 8   | HEPES-MEF + Matrigel | 50 RPM | 48-well plate, 1.8 cm²/well | BMP4 (100 ng/mL), Noggin (250 ng/mL) | 37°C | 7.5 | 12% |
| 9   | Matrigel | 0 RPM | 24-well plate, 2.0 cm²/well | FGF1 (20 ng/mL), ESGRO (100 μM) | 32°C | 7.3 | 10% |
| 10  | Matrigel + HEPES-MEF | 75 RPM | 6-well plate, 9.5 cm²/well | Activin A (25 ng/mL), HGF (12.5 ng/mL) | 32°C | 7.3 | 8% |
| 11  | Matrigel + HEPES-MEF | 50 RPM | 24-well plate, 2.0 cm²/well | BMP4 (200 ng/mL), PDGFB (25 ng/mL) | 37°C | 7.5 | 12% |
| 12  | Matrigel + HEPES-MEF | 0 RPM | 48-well plate, 1.8 cm²/well | ESGRO (200 μM), FGF2 (50 ng/mL) | 32°C | 7.3 | 10% |
| 13  | Matrigel | 75 RPM | 6-well plate, 9.5 cm²/well | HGF (12.5 ng/mL), Noggin (250 ng/mL) | 37°C | 7.4 | 15% |
| 14  | Matrigel + HEPES-MEF | 50 RPM | 24-well plate, 2.0 cm²/well | Activin A (50 ng/mL), BMP4 (100 ng/mL) | 32°C | 7.3 | 8% |
| 15  | Matrigel + HEPES-MEF | 0 RPM | 48-well plate, 1.8 cm²/well | FGF2 (20 ng/mL), ESGRO (100 μM) | 37°C | 7.4 | 12% |
| 16  | Matrigel + HEPES-MEF | 75 RPM | 6-well plate, 9.5 cm²/well | HGF (25 ng/mL), PDGFB (20 ng/mL) | 32°C | 7.3 | 10% |
| 17  | HEPES-MEF + Matrigel | 50 RPM | 24-well plate, 2.0 cm²/well | ESGRO (200 μM), FGF1 (25 ng/mL) | 37°C | 7.5 | 12% |
| 18  | HEPES-MEF + Matrigel | 0 RPM | 48-well plate, 1.8 cm²/well | BMP4 (100 ng/mL), Noggin (250 ng/mL) | 32°C | 7.3 | 10% |
| 19  | HEPES-MEF + Matrigel | 75 RPM | 6-well plate, 9.5 cm²/well | Activin A (25 ng/mL), HGF (12.5 ng/mL) | 37°C | 7.4 | 15% |
| 20  | HEPES-MEF + Matrigel | 50 RPM | 24-well plate, 2.0 cm²/well | FGF2 (20 ng/mL), ESGRO (100 μM) | 32°C | 7.3 | 8% |
| 21  | Matrigel + HEPES-MEF | 0 RPM | 48-well plate, 1.8 cm²/well | PDGFB (25 ng/mL), HGF (12.5 ng/mL) | 32°C | 7.3 | 10% |

Generating protocol 239 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | None | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), B27 (1x) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 75 RPM | 6-well plate, 9.5 cm²/well | BMP4 (50 ng/mL), VEGF (10 ng/mL) | 37°C | 7.3 | 15% |
| 3   | HEPES buffered DMEM/F12 | 0 RPM | 24-well plate, 2 cm²/well | Insulin-Transferrin-Selenium (1x), Glucose (5 mg/mL) | 37°C | 7.4 | 10% |
| 4   | HEPES buffered DMEM/F12 | 75 RPM | 24-well plate, 2 cm²/well | FGF1 (50 ng/mL), ESGRO (10 μM) | 37°C | 7.3 | 15% |
| 5   | HEPES buffered DMEM/F12 | 0 RPM | 48-well plate, 1 cm²/well | HGF (25 ng/mL), AICAR (100 μM) | 37°C | 7.4 | 10% |
| 6   | HEPES buffered DMEM/F12 | 75 RPM | 48-well plate, 1 cm²/well | BMP2 (50 ng/mL), TGF-β (5 ng/mL) | 37°C | 7.3 | 15% |
| 7   | HEPES buffered DMEM/F12 | 0 RPM | 96-well plate, 0.5 cm²/well | IWR1e1a (10 μM), FGF4 (50 ng/mL) | 37°C | 7.4 | 10% |
| 8   | HEPES buffered DMEM/F12 | 75 RPM | 96-well plate, 0.5 cm²/well | Wnt3A (100 ng/mL), CHIR99021 (3 μM) | 37°C | 7.3 | 15% |
| 9   | HEPES buffered DMEM/F12 | 0 RPM | 96-well plate, 0.5 cm²/well | Activin A (50 ng/mL), BFGF (10 ng/mL) | 37°C | 7.4 | 10% |
| 10  | HEPES buffered DMEM/F12 | 75 RPM | 96-well plate, 0.5 cm²/well | FGF2 (25 ng/mL), PD0325901 (1 μM) | 37°C | 7.3 | 15% |
| 11  | Matrigel | 0 RPM | Organoid dish, 10 mm well | None | 37°C | 7.4 | 20% |
| 12  | Matrigel | 0 RPM | Organoid dish, 10 mm well | HGF (50 ng/mL), IWR1e1a (5 μM) | 37°C | 7.4 | 20% |
| 13  | Matrigel | 0 RPM | Organoid dish, 10 mm well | BMP4 (100 ng/mL), VEGF (25 ng/mL) | 37°C | 7.3 | 15% |
| 14  | Matrigel | 0 RPM | Organoid dish, 10 mm well | FGF1 (50 ng/mL), ESGRO (20 μM) | 37°C | 7.4 | 10% |
| 15  | Matrigel | 75 RPM | Organoid dish, 10 mm well | Insulin-Transferrin-Selenium (2x), Glucose (10 mg/mL) | 37°C | 7.3 | 5% |
| 16  | Matrigel | 0 RPM | Organoid dish, 10 mm well | HGF (100 ng/mL), AICAR (200 μM) | 37°C | 7.4 | 20% |
| 17  | Matrigel | 75 RPM | Organoid dish, 10 mm well | BMP2 (100 ng/mL), TGF-β (10 ng/mL) | 37°C | 7.3 | 15% |
| 18  | Matrigel | 0 RPM | Organoid dish, 10 mm well | IWR1e1a (20 μM), FGF4 (50 ng/mL) | 37°C | 7.4 | 10% |
| 19  | Matrigel | 75 RPM | Organoid dish, 10 mm well | Wnt3A (200 ng/mL), CHIR99021 (6 μM) | 37°C | 7.3 | 5% |
| 20  | Matrigel | 0 RPM | Organoid dish, 10 mm well | Activin A (100 ng/mL), BFGF (25 ng/mL) | 37°C | 7.4 | 20% |
| 21  | Matrigel | 75 RPM | Organoid dish, 10 mm well | FGF2 (50 ng/mL), PD0325901 (5 μM) | 37°C | 7.3 | 15% |

Note: The concentrations and timings of the growth factors may need to be optimized for individual cell types or experimental conditions.
Generating protocol 240 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 100 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 100 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (50 μg/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1+LIF | 100 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.3 | 18% |
| 3   | mTeSR1+LIF | 50 RPM | 12-well plate, 4 cm²/well | TGF-β1 (10 ng/mL), noggin (100 ng/mL) | 37°C | 7.2 | 16% |
| 4   | hESc medium | 50 RPM | 24-well plate, 2 cm²/well | - | 37°C | 7.1 | 14% |
| 5   | hESc medium | 25 RPM | 48-well plate, 0.8 cm²/well | BMP4 (20 ng/mL), Wnt3a (100 ng/mL) | 37°C | 7.0 | 12% |
| 6   | hESc medium | 15 RPM | 96-well plate, 0.2 cm²/well | - | 37°C | 6.9 | 10% |
| 7   | Matrigel + hESc medium | Static | 24-well plate, 1 cm²/well | EGF (20 ng/mL), VEGF (50 ng/mL) | 37°C | 6.8 | 8% |
| 8   | Matrigel + hESc medium | Static | 48-well plate, 0.5 cm²/well | - | 37°C | 6.7 | 6% |
| 9   | Matrigel + hESc medium | 5 RPM | 96-well plate, 0.1 cm²/well | TGF-β3 (10 ng/mL), PDGF-AA (50 μg/mL) | 37°C | 6.6 | 4% |
| 10  | Matrigel + hESc medium | 2 RPM | 96-well plate, 0.1 cm²/well | - | 37°C | 6.5 | 2% |
| 11  | DMEM/F12 | 0 RPM | 24-well plate, 1 cm²/well | Glucose (10 mM), insulin (100 μU/mL) | 37°C | 7.4 | 20% |
| 12  | DMEM/F12 | 0 RPM | 48-well plate, 0.5 cm²/well | - | 37°C | 7.3 | 18% |
| 13  | DMEM/F12 + HEPES | 0 RPM | 96-well plate, 0.1 cm²/well | TGF-β2 (10 ng/mL), dexamethasone (100 nM) | 37°C | 7.2 | 16% |
| 14  | DMEM/F12 + HEPES | 0 RPM | 96-well plate, 0.1 cm²/well | - | 37°C | 7.1 | 14% |
